Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-08-01 00:00:00+00:00	6	0.116666666667	0.463888888889	1.33333333333	0.7	0.666666666667	4.0	2.78333333333	8.0
2001-08-02 00:00:00+00:00	2	0.464285714286	0.27380952381	1.5	0.928571428571	4.5	9.0	0.547619047619	3.0
2001-08-03 00:00:00+00:00	8	0.0	1.29166666667	1.75	0.0	0.0	0.0	10.3333333333	14.0
2001-08-04 00:00:00+00:00	2	0.409090909091	-0.0606060606061	-2.0	0.818181818182	4.5	9.0	-0.121212121212	-4.0
2001-08-06 00:00:00+00:00	9	0.276543209877	-0.161419753086	-1.11111111111	2.48888888889	1.77777777778	16.0	-1.45277777778	-10.0
2001-08-07 00:00:00+00:00	5	0.4	0.2	0.2	2.0	0.4	2.0	1.0	1.0
2001-08-08 00:00:00+00:00	1	0.0	0.5	1.0	0.0	0.0	0.0	0.5	1.0
2001-08-09 00:00:00+00:00	1	1.33333333333	-0.5	-1.5	1.33333333333	4.0	4.0	-0.5	-1.5
2001-08-10 00:00:00+00:00	2	0.0	1.5	2.5	0.0	0.0	0.0	3.0	5.0
2001-08-11 00:00:00+00:00	2	1.0	-1.0	-1.0	2.0	1.0	2.0	-2.0	-2.0
2001-08-13 00:00:00+00:00	8	0.505980861244	-0.0911782296651	-0.9375	4.04784688995	2.9375	23.5	-0.729425837321	-7.5
2001-08-14 00:00:00+00:00	3	0.333333333333	-0.0833333333333	-0.333333333333	1.0	1.0	3.0	-0.25	-1.0
2001-08-15 00:00:00+00:00	3	0.477777777778	-0.238888888889	-1.83333333333	1.43333333333	4.83333333333	14.5	-0.716666666667	-5.5
2001-08-16 00:00:00+00:00	1	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
2001-08-17 00:00:00+00:00	10	0.182857142857	0.178571428571	2.05	1.82857142857	1.3	13.0	1.78571428571	20.5
2001-08-18 00:00:00+00:00	5	0.233333333333	0.333333333333	1.2	1.16666666667	0.4	2.0	1.66666666667	6.0
2001-08-19 00:00:00+00:00	1	0.0	1.75	3.5	0.0	0.0	0.0	1.75	3.5
2001-08-20 00:00:00+00:00	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-08-21 00:00:00+00:00	6	0.25	0.125	0.833333333333	1.5	0.5	3.0	0.75	5.0
2001-08-22 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-08-23 00:00:00+00:00	1	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
2001-08-24 00:00:00+00:00	4	0.589285714286	-0.258928571429	-0.5	2.35714285714	2.0	8.0	-1.03571428571	-2.0
2001-08-25 00:00:00+00:00	2	0.0	0.5	0.5	0.0	0.0	0.0	1.0	1.0
2001-08-27 00:00:00+00:00	3	0.275362318841	0.492753623188	-2.66666666667	0.826086956522	6.33333333333	19.0	1.47826086957	-8.0
2001-08-28 00:00:00+00:00	6	0.414148351648	-0.211080586081	-0.833333333333	2.48489010989	4.16666666667	25.0	-1.26648351648	-5.0
2001-08-30 00:00:00+00:00	4	0.183333333333	0.575	1.25	0.733333333333	1.0	4.0	2.3	5.0
